#Release 14.7 - par P.20131013 (nt64)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Sat Aug 23 00:53:17 2014

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       MEMTEST_map.ncd
#OUTPUT FILE:      MEMTEST_pad.csv
#PART TYPE:        xc6slx9
#SPEED GRADE:      -2
#PACKAGE:          tqg144
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
P86,,,VCCO_1,,,1,,,,,3.30,,,,
P87,,IOBS,IO_L42N_GCLK6_TRDY1_1,UNUSED,,1,,,,,,,,,
P88,,IOBM,IO_L42P_GCLK7_1,UNUSED,,1,,,,,,,,,
P89,,,VCCINT,,,,,,,,1.2,,,,
P90,,,VCCAUX,,,,,,,,2.5,,,,
P91,,,GND,,,,,,,,,,,,
P92,,IOBS,IO_L41N_GCLK8_1,UNUSED,,1,,,,,,,,,
P93,,IOBM,IO_L41P_GCLK9_IRDY1_1,UNUSED,,1,,,,,,,,,
P94,CLK,IOB,IO_L40N_GCLK10_1,INPUT,LVTTL,1,,,,NONE,,LOCATED,NO,NONE,
P95,,IOBM,IO_L40P_GCLK11_1,UNUSED,,1,,,,,,,,,
P96,,,GND,,,,,,,,,,,,
P97,,IOBS,IO_L34N_1,UNUSED,,1,,,,,,,,,
P98,,IOBM,IO_L34P_1,UNUSED,,1,,,,,,,,,
P99,,IOBS,IO_L33N_1,UNUSED,,1,,,,,,,,,
P100,,IOBM,IO_L33P_1,UNUSED,,1,,,,,,,,,
P101,,IOBS,IO_L32N_1,UNUSED,,1,,,,,,,,,
P102,,IOBM,IO_L32P_1,UNUSED,,1,,,,,,,,,
P103,,,VCCO_1,,,1,,,,,3.30,,,,
P104,,IOBS,IO_L1N_VREF_1,UNUSED,,1,,,,,,,,,
P105,TXD,IOB,IO_L1P_1,OUTPUT,LVTTL,1,8,FAST,PULLUP,,,LOCATED,YES,NONE,
P106,,,TDO,,,,,,,,,,,,
P107,,,TMS,,,,,,,,,,,,
P108,,,GND,,,,,,,,,,,,
P109,,,TCK,,,,,,,,,,,,
P110,,,TDI,,,,,,,,,,,,
P111,,IOBS,IO_L66N_SCP0_0,UNUSED,,0,,,,,,,,,
P112,,IOBM,IO_L66P_SCP1_0,UNUSED,,0,,,,,,,,,
P113,,,GND,,,,,,,,,,,,
P114,RST,IOB,IO_L65N_SCP2_0,INPUT,LVTTL,0,,,,NONE,,LOCATED,NO,NONE,
P115,,IOBM,IO_L65P_SCP3_0,UNUSED,,0,,,,,,,,,
P116,,IOBS,IO_L64N_SCP4_0,UNUSED,,0,,,,,,,,,
P117,,IOBM,IO_L64P_SCP5_0,UNUSED,,0,,,,,,,,,
P118,,IOBS,IO_L63N_SCP6_0,UNUSED,,0,,,,,,,,,
P119,,IOBM,IO_L63P_SCP7_0,UNUSED,,0,,,,,,,,,
P120,,IOBS,IO_L62N_VREF_0,UNUSED,,0,,,,,,,,,
P121,,IOBM,IO_L62P_0,UNUSED,,0,,,,,,,,,
P122,,,VCCO_0,,,0,,,,,3.30,,,,
P123,LED<0>,IOB,IO_L37N_GCLK12_0,OUTPUT,LVTTL,0,12,SLOW,,,,LOCATED,NO,NONE,
P124,LED<1>,IOB,IO_L37P_GCLK13_0,OUTPUT,LVTTL,0,12,SLOW,,,,LOCATED,NO,NONE,
P125,,,VCCO_0,,,0,,,,,3.30,,,,
P126,LED<2>,IOB,IO_L36N_GCLK14_0,OUTPUT,LVTTL,0,12,SLOW,,,,LOCATED,NO,NONE,
P127,LED<3>,IOB,IO_L36P_GCLK15_0,OUTPUT,LVTTL,0,12,SLOW,,,,LOCATED,NO,NONE,
P128,,,VCCINT,,,,,,,,1.2,,,,
P129,,,VCCAUX,,,,,,,,2.5,,,,
P130,,,GND,,,,,,,,,,,,
P131,LED<4>,IOB,IO_L35N_GCLK16_0,OUTPUT,LVTTL,0,12,SLOW,,,,LOCATED,NO,NONE,
P132,LED<5>,IOB,IO_L35P_GCLK17_0,OUTPUT,LVTTL,0,12,SLOW,,,,LOCATED,NO,NONE,
P133,LED<6>,IOB,IO_L34N_GCLK18_0,OUTPUT,LVTTL,0,12,SLOW,,,,LOCATED,NO,NONE,
P134,LED<7>,IOB,IO_L34P_GCLK19_0,OUTPUT,LVTTL,0,12,SLOW,,,,LOCATED,NO,NONE,
P135,,,VCCO_0,,,0,,,,,3.30,,,,
P136,,,GND,,,,,,,,,,,,
P137,SDRAM_ADDR<3>,IOB,IO_L4N_0,OUTPUT,LVTTL,0,12,FAST,,,,LOCATED,NO,NONE,
P138,SDRAM_ADDR<2>,IOB,IO_L4P_0,OUTPUT,LVTTL,0,12,FAST,,,,LOCATED,NO,NONE,
P139,SDRAM_ADDR<1>,IOB,IO_L3N_0,OUTPUT,LVTTL,0,12,FAST,,,,LOCATED,NO,NONE,
P140,SDRAM_ADDR<0>,IOB,IO_L3P_0,OUTPUT,LVTTL,0,12,FAST,,,,LOCATED,NO,NONE,
P141,SDRAM_ADDR<10>,IOB,IO_L2N_0,OUTPUT,LVTTL,0,12,FAST,,,,LOCATED,NO,NONE,
P142,SDRAM_BA<1>,IOB,IO_L2P_0,OUTPUT,LVTTL,0,12,FAST,,,,LOCATED,NO,NONE,
P143,SDRAM_BA<0>,IOB,IO_L1N_VREF_0,OUTPUT,LVTTL,0,12,FAST,,,,LOCATED,NO,NONE,
P144,,IOBM,IO_L1P_HSWAPEN_0,UNUSED,,0,,,,,,PROHIBITED,,,

# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
# 
#* Default value.
#** This default Pullup/Pulldown value can be overridden in Bitgen. 
#****** Special VCCO requirements may apply. Please consult the device 
#       family datasheet for specific guideline on VCCO requirements. 
#
#
#
